name,ranking,categories,mechanics,yearpublished,playingtime,minage,usersrate,average,bayesaverage,stddev,numcomments,numweights,averageweight,recom_plyrs_int,avgprice,numcat,nummech,langdep
Dominion (Second Edition),180,"Card Game, Medieval","Deck Bag and Pool Building, Delayed Purchase, Hand Management, Open Drafting, Variable Set-up",2016,30,14,7211,7.8823,7.33468,1.36634,843,146,2.1712,2,46.37,2,5,3
Near and Far,181,"Adventure, Exploration","Dice Rolling, Narrative Choice / Paragraph, Network and Route Building, Open Drafting, Scenario / Mission / Campaign Game, Set Collection, Storytelling, Variable Player Powers, Worker Placement",2017,120,13,9222,7.73066,7.32816,1.32341,1856,186,2.871,3,61.12,2,9,4
Village,182,"Economic, Farming, Medieval","Area Majority / Influence, Contracts, Set Collection, Turn Order: Claim Action, Worker Placement, Worker Placement Different Worker Types",2011,90,12,21948,7.50575,7.32788,1.19198,3572,1149,3.0714,4,109.98,3,6,1
Captain Sonar,183,"Deduction, Fighting, Nautical, Real-time","Grid Movement, Hidden Movement, Line Drawing, Real-Time, Role Playing, Secret Unit Deployment, Simulation, Team-Based Game",2016,60,14,18786,7.53696,7.32512,1.37557,3133,326,2.1871,8,76.33,4,8,1
Calico,184,"Abstract Strategy, Animals, Puzzle","Enclosure, End Game Bonuses, Hexagon Grid, Open Drafting, Pattern Building, Scenario / Mission / Campaign Game, Set Collection, Solo / Solitaire Game, Tile Placement",2020,45,10,12639,7.64511,7.32278,1.19839,1990,351,2.1937,2,34.01,3,9,1
Combat Commander: Europe,185,"Wargame, World War II","Advantage Token, Campaign / Battle Card Driven, Grid Movement, Hexagon Grid, Simulation, Variable Phase Order",2006,180,12,5712,7.94842,7.32177,1.64228,1939,699,3.2504,2,139.75,2,6,4
Ra,186,"Ancient, Mythology","Auction/Bidding, Auction: Once Around, Closed Economy Auction, Constrained Bidding, Push Your Luck, Set Collection",1999,60,12,20538,7.49497,7.32101,1.33481,5511,1782,2.3462,4,29.87,2,6,1
Nations,187,"Card Game, Civilization, Economic","Events, Open Drafting, Turn Order: Pass Order, Variable Player Powers",2013,200,14,11797,7.6199,7.32005,1.40554,2247,704,3.5426,3,127.31,3,4,3
Go,188,Abstract Strategy,"Enclosure, Square Grid",-2200,180,8,16105,7.64114,7.31876,1.90715,3951,1538,3.9369,2,19.49,1,2,1
Space Base,189,"Dice, Science Fiction, Space Exploration","Dice Rolling, Open Drafting, Random Production",2018,60,14,14354,7.57216,7.31859,1.24183,2235,261,2.1034,3,39.74,3,3,2
Coimbra,190,"Dice, Renaissance","Action Drafting, Auction/Bidding, Dice Rolling, End Game Bonuses, Income, Open Drafting, Point to Point Movement, Set Collection, Tech Trees / Tech Tracks, Turn Order: Stat-Based, Variable Set-up, Worker Placement with Dice Workers",2018,90,14,10586,7.65213,7.31768,1.16058,1585,427,3.26,3,56.48,2,12,2
Star Realms: Colony Wars,191,"Card Game, Fighting, Science Fiction","Deck Bag and Pool Building, Delayed Purchase, Hand Management, Open Drafting, Take That",2015,20,12,7295,7.82352,7.31692,1.20196,1029,124,1.9032,2,18.52,3,5,2
Splendor,192,"Card Game, Economic, Renaissance","Contracts, Open Drafting, Race, Set Collection",2014,30,10,70160,7.43189,7.31336,1.29171,10117,2443,1.7839,3,28.06,3,4,1
Dune,193,"Bluffing, Fighting, Negotiation, Novel-based, Political, Science Fiction, Wargame","Alliances, Area Majority / Influence, Area Movement, Auction/Bidding, Bribery, Force Commitment, Map Deformation, Predictive Bid, Take That, Variable Player Powers",2019,180,14,6175,8.01656,7.31232,1.57554,1302,266,3.9737,6,57.26,7,10,3
Paths of Glory,194,"Wargame, World War I","Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement",1999,480,14,4871,8.05106,7.31142,1.65256,1749,658,3.8465,2,53.24,2,3,4
Unmatched: Cobble & Fog,195,"Card Game, Fantasy, Fighting, Horror, Miniatures, Novel-based","Action Points, Card Play Conflict Resolution, Hand Management, Point to Point Movement, Team-Based Game, Variable Player Powers",2020,40,9,4387,8.14929,7.30684,1.19975,542,67,1.9851,2,34.98,6,6,3
Under Falling Skies,196,"Dice, Science Fiction","Dice Rolling, Modular Board, Once-Per-Game Abilities, Re-rolling and Locking, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Square Grid, Sudden Death Ending, Variable Set-up, Worker Placement, Worker Placement with Dice Workers",2020,40,12,7602,7.78211,7.30656,1.13564,1228,178,2.4438,1,27.66,2,11,3
Tichu,197,Card Game,"Hand Management, Ladder Climbing, Predictive Bid, Team-Based Game, Trick-taking",1991,60,10,14478,7.57524,7.30606,1.68008,3566,945,2.3365,4,17.91,1,5,1
Carcassonne,198,"City Building, Medieval, Territory Building","Area Majority / Influence, Map Addition, Tile Placement",2000,45,7,114753,7.41437,7.30324,1.30628,20012,7887,1.9017,2,26.83,3,3,1
Codenames: Duet,199,"Card Game, Deduction, Spies/Secret Agents, Word Game","Communication Limits, Cooperative Game, Push Your Luck",2017,30,11,19160,7.49198,7.30312,1.23146,2785,349,1.3467,2,16.41,4,3,5
Detective: A Modern Crime Board Game,200,"Deduction, Murder/Mystery","Cooperative Game, Solo / Solitaire Game, Storytelling",2018,180,16,9233,7.75809,7.30027,1.62451,1630,199,2.7437,2,38.41,2,3,4
Dwellings of Eldervale,201,Fantasy,"Dice Rolling, Hand Management, Modular Board, Solo / Solitaire Game, Variable Player Powers, Worker Placement, Worker Placement Different Worker Types",2020,150,14,4050,8.21349,7.29944,1.51087,998,205,3.2439,3,134.66,1,7,3
La Granja,202,"Economic, Farming","Area Majority / Influence, Automatic Resource Growth, Contracts, Dice Rolling, Hand Management, Hidden Victory Points, Income, Multi-Use Cards, Open Drafting, Simultaneous Action Selection, Solo / Solitaire Game, Variable Player Powers, Victory Points as a Resource",2014,120,12,10133,7.63068,7.2968,1.24926,1912,504,3.5675,3,44.0,2,13,3
Ticket to Ride,203,Trains,"Connections, Contracts, End Game Bonuses, Hand Management, Network and Route Building, Open Drafting, Push Your Luck, Set Collection",2004,60,8,80674,7.40527,7.29411,1.29748,13612,4796,1.8401,4,41.6,1,8,1
YINSH,204,Abstract Strategy,"Catch the Leader, Grid Movement, Pattern Building",2003,60,9,8297,7.70419,7.28967,1.31955,2107,586,2.6741,2,36.92,1,3,1
Cyclades,205,"Ancient, City Building, Civilization, Fighting, Miniatures, Mythology, Nautical","Area Majority / Influence, Area Movement, Auction/Bidding, Auction: Fixed Placement, Dice Rolling, Open Drafting, Set Collection, Variable Phase Order",2009,90,13,19900,7.51638,7.28939,1.32551,3592,989,2.819,5,57.09,7,8,1
MicroMacro: Crime City,206,"Deduction, Murder/Mystery","Cooperative Game, Deduction, Scenario / Mission / Campaign Game, Solo / Solitaire Game",2020,45,12,10684,7.61772,7.28722,1.22113,1433,242,1.1157,2,29.27,2,4,3
Chronicles of Crime,207,"Adventure, Deduction, Murder/Mystery","Cooperative Game, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Storytelling",2018,90,12,19395,7.66707,7.28654,1.40966,3301,310,2.0871,2,31.92,3,4,4
Legendary: A Marvel Deck Building Game,208,"Card Game, Comic Book / Strip","Deck Bag and Pool Building, Events, Semi-Cooperative Game, Solo / Solitaire Game, Variable Set-up",2012,60,14,21541,7.55102,7.28503,1.49384,3824,828,2.4336,3,54.59,2,5,4
Zombicide: Black Plague,209,"Adventure, Fantasy, Fighting, Horror, Medieval, Miniatures, Zombies","Cooperative Game, Dice Rolling, Modular Board, Scenario / Mission / Campaign Game, Turn Order: Progressive, Variable Player Powers",2015,180,14,14651,7.64748,7.28183,1.43496,2273,339,2.4956,3,97.99,7,6,2
Secret Hitler,210,"Bluffing, Card Game, Deduction, Humor, Party Game, Political, Print & Play, Spies/Secret Agents","Hidden Roles, Player Elimination, Team-Based Game, Traitor Game, Voting",2016,45,13,23438,7.52951,7.28127,1.59947,3573,421,1.677,8,65.5,8,5,2
Nidavellir,211,"Fantasy, Mythology","Constrained Bidding, Open Drafting, Selection Order Bid, Set Collection, Simultaneous Action Selection, Turn Order: Auction, Victory Points as a Resource",2020,45,10,9309,7.65624,7.27997,1.12686,1290,209,2.1388,3,43.94,2,7,1
Kanban: Driver's Edition,212,"Economic, Industry / Manufacturing","Action Points, Commodity Speculation, Variable Phase Order, Worker Placement",2014,120,12,6453,7.81196,7.27942,1.43612,1271,526,4.3631,4,29.67,2,4,1
Century: Golem Edition,213,"Card Game, Economic, Fantasy","Action Retrieval, Contracts, Deck Bag and Pool Building, Hand Management, Increase Value of Unchosen Resources, Open Drafting, Set Collection",2017,45,8,10032,7.64249,7.27558,1.19765,1685,209,1.6794,3,38.98,3,7,1
Modern Art,214,"Card Game, Economic","Auction/Bidding, Auction: English, Auction: Once Around, Auction: Sealed Bid, Auction: Turn Order Until Pass, Commodity Speculation, Hand Management, Victory Points as a Resource",1992,45,10,19521,7.46407,7.27507,1.32369,4890,1434,2.295,5,152.73,2,8,1
Roll Player,215,"Dice, Fantasy","Dice Rolling, Open Drafting, Role Playing, Set Collection, Variable Player Powers",2016,90,10,17627,7.49129,7.27383,1.1945,2735,362,2.4282,3,63.95,2,5,4
Deception: Murder in Hong Kong,216,"Bluffing, Deduction, Murder/Mystery, Party Game","Communication Limits, Deduction, Events, Finale Ending, Hidden Roles, Storytelling, Team-Based Game, Traitor Game, Variable Set-up",2014,20,14,19604,7.47667,7.27372,1.32772,3322,344,1.5872,7,38.99,4,9,3
The Princes of Florence,217,"City Building, Renaissance","Auction/Bidding, End Game Bonuses, Grid Coverage, Tile Placement, Victory Points as a Resource",2000,100,12,14981,7.52118,7.26988,1.35458,3925,1581,3.2467,5,49.63,2,5,3
Hanamikoji,218,"Card Game, Medieval, Video Game Theme","Area Majority / Influence, Force Commitment, Hand Management, I Cut You Choose, Tug of War",2013,15,10,14810,7.5169,7.26956,1.19197,2565,366,1.7158,2,16.42,3,5,1
T.I.M.E Stories,219,"Adventure, Arabian, Puzzle, Science Fiction","Cooperative Game, Dice Rolling, Move Through Deck, Narrative Choice / Paragraph, Storytelling, Variable Player Powers",2015,90,12,26116,7.45194,7.26916,1.72003,3988,562,2.5979,4,48.31,4,6,5
Star Wars: Outer Rim,220,"Adventure, Exploration, Movies / TV / Radio theme, Science Fiction, Space Exploration","Dice Rolling, Die Icon Resolution, Modular Board, Pick-up and Deliver, Trading, Variable Player Powers",2019,180,14,9173,7.71458,7.26879,1.30892,1430,246,2.4959,3,63.98,5,6,4
Santorini,221,"Abstract Strategy, Ancient, Mythology","Grid Movement, Map Reduction, Race, Square Grid, Team-Based Game, Three Dimensional Movement, Variable Player Powers",2016,20,8,34399,7.40587,7.2685,1.31835,5336,661,1.7352,2,26.04,3,7,1
Goa,222,"Economic, Farming, Nautical, Renaissance","Auction/Bidding, Auction: Once Around, Hand Management, Push Your Luck, Tech Trees / Tech Tracks",2004,90,12,11265,7.56992,7.26733,1.28822,3095,1141,3.3734,4,87.8,4,5,2
Sushi Go Party!,223,"Card Game, Party Game","Closed Drafting, End Game Bonuses, Hand Management, Set Collection, Simultaneous Action Selection, Variable Set-up",2016,20,8,29138,7.42667,7.26723,1.14197,4011,517,1.3037,4,19.63,2,6,2
Paleo,224,"Card Game, Exploration, Prehistoric","Action/Event, Cooperative Game, Memory, Scenario / Mission / Campaign Game, Simultaneous Action Selection, Variable Set-up",2020,60,10,7293,7.7885,7.26687,1.26336,969,235,2.6085,2,53.06,3,6,2
Too Many Bones: Undertow,225,"Adventure, Dice, Fantasy, Fighting","Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Minimap Resolution, Role Playing, Solo / Solitaire Game, Tech Trees / Tech Tracks, Variable Player Powers",2018,180,12,2478,8.71642,7.2628,1.30803,451,102,4.0098,2,132.02,4,8,4
The Red Cathedral,226,"Dice, Economic","Area Majority / Influence, Contracts, Dice Rolling, End Game Bonuses, Rondel, Solo / Solitaire Game, Victory Points as a Resource",2020,80,10,6981,7.78336,7.26219,1.06143,1053,244,2.8115,3,35.4,2,7,1
Hadrian's Wall,227,"Ancient, City Building","Hand Management, Paper-and-Pencil, Solo / Solitaire Game, Tech Trees / Tech Tracks",2021,60,12,4119,8.09234,7.26025,1.18861,716,164,3.128,1,56.84,2,4,2
Flamme Rouge,228,"Racing, Sports","Catch the Leader, Hand Management, Modular Board, Programmed Movement, Race, Simulation, Simultaneous Action Selection, Track Movement",2016,45,8,15426,7.51986,7.25921,1.26813,2377,383,1.6867,4,42.39,2,8,1
Aeon's End: Legacy,229,"Card Game, Fantasy, Science Fiction","Cooperative Game, Deck Bag and Pool Building, Hand Management, Legacy Game, Open Drafting, Solo / Solitaire Game, Variable Phase Order, Variable Player Powers",2019,90,14,4077,8.1015,7.25788,1.42687,845,61,2.8197,2,224.95,3,8,5
My City,230,City Building,"Bingo, Catch the Leader, Enclosure, Grid Coverage, Legacy Game, Scenario / Mission / Campaign Game, Tile Placement, Victory Points as a Resource",2020,30,10,6730,7.75558,7.25259,1.19225,1093,149,2.0201,4,29.98,1,8,3
Carnegie,231,"Economic, Industry / Manufacturing","Action Retrieval, Area Movement, Connections, End Game Bonuses, Follow, Grid Movement, Income, Movement Points, Network and Route Building, Resource to Move, Solo / Solitaire Game, Square Grid, Tech Trees / Tech Tracks, Turn Order: Progressive, Variable Phase Order, Worker Placement Different Worker Types",2022,180,12,4196,8.06288,7.25086,1.21109,785,281,3.8007,4,70.28,2,16,1
The Taverns of Tiefenthal,232,"Card Game, Dice, Medieval","Deck Bag and Pool Building, Dice Rolling, Open Drafting",2019,60,12,10644,7.59493,7.25001,1.14215,1426,255,2.6824,2,43.12,3,3,1
Isle of Skye: From Chieftain to King,233,"Economic, Territory Building","Auction/Bidding, Catch the Leader, Set Collection, Tile Placement, Turn Order: Progressive",2015,50,8,23304,7.40845,7.25001,1.15431,3533,675,2.2504,4,42.34,2,5,1
Hero Realms,234,"Card Game, Fantasy, Fighting","Deck Bag and Pool Building, Hand Management, Take That",2016,30,12,15487,7.55587,7.24969,1.21677,2278,253,1.8972,2,37.34,3,3,3
Shogun,235,"Economic, Medieval, Territory Building","Action Queue, Area Majority / Influence, Area Movement, Auction/Bidding, Cube Tower, Simultaneous Action Selection, Variable Phase Order",2006,120,12,13428,7.52739,7.24761,1.34046,2741,1223,3.3688,5,80.99,3,7,1
Galaxy Trucker,236,"Real-time, Science Fiction, Space Exploration, Transportation","Dice Rolling, Events, Real-Time, Relative Movement, Team-Based Game, Tile Placement, Track Movement",2007,60,10,32238,7.37244,7.24735,1.44929,6263,1534,2.3299,4,47.48,4,7,2
"Unmatched: Battle of Legends, Volume One",237,"Card Game, Fantasy, Fighting, Miniatures, Mythology, Novel-based","Action Points, Area Movement, Card Play Conflict Resolution, Hand Management, Line of Sight, Point to Point Movement, Take That, Team-Based Game, Variable Player Powers",2019,40,9,6355,7.85921,7.24734,1.29735,860,124,1.9194,2,40.95,6,9,3
Radlands,238,"Card Game, Fighting, Science Fiction","Action Points, Action Queue, Hand Management, Take That, Variable Player Powers",2021,40,14,4303,8.11168,7.24612,1.2719,873,104,2.2404,2,41.55,3,5,3
Glory to Rome,239,"Ancient, Card Game, City Building, Economic","End Game Bonuses, Follow, Hand Management, Set Collection, Sudden Death Ending, Variable Phase Order",2005,60,12,13651,7.48816,7.24451,1.40382,3664,908,2.9251,4,385.0,4,6,4
1830: Railways & Robber Barons,240,"Economic, Trains, Transportation","Auction/Bidding, Hexagon Grid, Investment, Market, Network and Route Building, Ownership, Single Loser Game, Stock Holding, Tile Placement, Victory Points as a Resource",1986,360,14,5226,7.86558,7.24413,1.60665,1707,558,4.1577,4,67.0,3,10,2
Ankh: Gods of Egypt,241,"Ancient, Fighting, Miniatures, Mythology","Action Retrieval, Alliances, Area Majority / Influence, Auction: Sealed Bid, Card Play Conflict Resolution, Grid Movement, Hexagon Grid, Kill Steal, Player Elimination, Race, Tech Trees / Tech Tracks, Variable Player Powers",2021,90,14,5931,7.90482,7.24345,1.61416,1235,276,3.0688,2,115.27,4,12,3
Pulsar 2849,242,"Dice, Science Fiction, Space Exploration","Dice Rolling, Open Drafting, Point to Point Movement, Variable Player Powers, Worker Placement with Dice Workers",2017,90,14,7634,7.69307,7.24297,1.1865,1172,249,3.3494,4,52.47,3,5,1
1960: The Making of the President,243,Political,"Action/Event, Area Majority / Influence, Campaign / Battle Card Driven, Hand Management, Simulation",2007,120,12,9005,7.62081,7.24124,1.3345,2865,983,3.2024,2,102.81,1,5,4
Steam,244,"Economic, Trains, Transportation","Auction/Bidding, Loans, Network and Route Building, Ownership, Pick-up and Deliver, Tile Placement",2009,90,10,9928,7.56831,7.24109,1.35887,2273,691,3.4573,4,33.0,3,6,1
Arcadia Quest,245,"Adventure, Exploration, Fantasy, Fighting, Miniatures","Action Retrieval, Dice Rolling, Grid Movement, Line of Sight, Modular Board, Scenario / Mission / Campaign Game, Square Grid, Take That, Variable Player Powers",2014,60,13,9970,7.64966,7.24086,1.50568,1842,340,2.5294,4,91.99,5,9,3
Viticulture,246,"Economic, Farming","Hand Management, Turn Order: Progressive, Worker Placement",2013,90,13,12083,7.53392,7.24046,1.43032,1715,438,2.9315,4,50.5,2,3,3
Fantasy Realms,247,"Card Game, Fantasy","End Game Bonuses, Hand Management, Open Drafting, Set Collection",2017,20,14,10826,7.55715,7.23603,1.22446,1485,262,1.771,2,17.86,2,4,3
Samurai,248,"Abstract Strategy, Medieval","Area Majority / Influence, Hand Management, Hexagon Grid, Once-Per-Game Abilities, Set Collection, Tile Placement",1998,60,10,15633,7.45952,7.23475,1.18978,3897,1469,2.4813,3,109.97,2,6,1
Lewis & Clark: The Expedition,249,"American West, Exploration","Action Retrieval, Deck Bag and Pool Building, Delayed Purchase, Hand Management, Open Drafting, Race, Resource to Move, Solo / Solitaire Game, Track Movement, Worker Placement",2013,120,14,14578,7.46723,7.23097,1.29544,2610,722,3.3352,3,65.0,2,10,1
Bora Bora,250,Dice,"Dice Rolling, Set Collection, Worker Placement, Worker Placement with Dice Workers",2013,120,12,9690,7.55984,7.22084,1.3413,2077,621,3.7375,4,129.19,1,4,1
Kingdomino,251,"City Building, Medieval, Territory Building","Open Drafting, Tile Placement, Turn Order: Stat-Based",2016,25,8,40925,7.33416,7.21576,1.12241,5769,913,1.218,2,15.2,3,3,1
KLASK,252,"Action / Dexterity, Real-time","Real-Time, Score-and-Reset Game",2014,10,8,7879,7.63778,7.21395,1.30821,1102,148,1.0743,2,46.1,2,2,1
Western Legends,253,"Adventure, American West","Action Points, Area Movement, Betting and Bluffing, Card Play Conflict Resolution, Dice Rolling, End Game Bonuses, Hand Management, Pick-up and Deliver, Take That, Variable Player Powers",2018,90,14,9244,7.6204,7.21162,1.41165,1669,227,2.8238,4,55.58,2,10,3
Hallertau,254,"Animals, Economic, Farming, Industry / Manufacturing, Post-Napoleonic","Advantage Token, Automatic Resource Growth, Contracts, End Game Bonuses, Hand Management, Income, Increase Value of Unchosen Resources, Market, Modular Board, Solo / Solitaire Game, Turn Order: Claim Action, Worker Placement",2020,140,12,4085,7.99484,7.20698,1.15323,738,206,3.3301,2,82.68,5,12,3
Rococo,255,"Age of Reason, Economic","Action Retrieval, Area Majority / Influence, Deck Bag and Pool Building, Delayed Purchase, Hand Management, Open Drafting, Set Collection, Turn Order: Claim Action",2013,120,12,8394,7.58842,7.20666,1.15924,1422,423,3.0851,3,126.44,2,8,1
Seasons,256,"Card Game, Fantasy","Closed Drafting, Dice Rolling, Hand Management, Open Drafting, Take That, Victory Points as a Resource",2012,60,14,23196,7.37654,7.20653,1.37089,3659,944,2.7797,2,49.38,2,6,4
Tapestry,257,Civilization,"Area Majority / Influence, Contracts, Dice Rolling, Events, Grid Coverage, Hand Management, Hexagon Grid, Income, Map Addition, Once-Per-Game Abilities, Open Drafting, Push Your Luck, Solo / Solitaire Game, Square Grid, Take That, Tech Trees / Tech Tracks, Tile Placement, Variable Player Powers, Variable Set-up",2019,120,12,16707,7.44564,7.20525,1.63664,2805,646,2.9087,3,76.83,1,19,3
Dixit: Odyssey,258,"Card Game, Humor, Party Game","Storytelling, Targeted Clues, Voting",2011,30,8,19166,7.42523,7.20454,1.3459,2352,590,1.178,6,27.94,3,3,1
Imperial,259,"Economic, Nautical, Political","Advantage Token, Area Majority / Influence, Area Movement, Investment, Ownership, Rondel, Stock Holding",2006,180,13,8522,7.60039,7.20208,1.50813,2269,973,3.5642,4,43.36,3,7,2
Power Grid Deluxe: Europe/North America,260,"Economic, Industry / Manufacturing","Auction: Turn Order Until Pass, Income, Market, Network and Route Building",2014,120,12,4148,7.97173,7.20207,1.27168,690,136,3.1985,4,93.8,2,4,1
Battle Line,261,"Ancient, Card Game, Deduction","Card Play Conflict Resolution, Hand Management, Melding and Splaying, Set Collection",2000,30,12,16684,7.41143,7.20098,1.26111,4788,1194,1.8987,2,20.22,3,4,2
The Manhattan Project: Energy Empire,262,"Civilization, Dice, Economic, Environmental, Industry / Manufacturing","Dice Rolling, Die Icon Resolution, End Game Bonuses, Events, Variable Player Powers, Worker Placement, Worker Placement Different Worker Types",2016,120,13,5584,7.76972,7.19775,1.17127,1066,155,3.0387,4,61.99,5,7,3
Camel Up (Second Edition),263,"Animals, Dice, Racing","Betting and Bluffing, Dice Rolling, Roll / Spin and Move, Track Movement",2018,45,8,8086,7.62482,7.19518,1.15386,1161,168,1.4702,5,33.58,3,4,1
Dungeon Petz,264,"Animals, Fantasy, Humor","Auction/Bidding, Hand Management, Selection Order Bid, Simultaneous Action Selection, Worker Placement",2011,90,13,14058,7.42789,7.19343,1.36298,2643,690,3.6261,4,53.35,3,5,1
Ethnos,265,Fantasy,"Area Majority / Influence, Hand Management, Open Drafting, Set Collection",2017,60,14,11929,7.47593,7.19322,1.2137,2107,225,2.04,4,41.25,1,4,2
Vindication,266,Fantasy,"Area Majority / Influence, Dice Rolling, Hexagon Grid, Map Addition, Modular Board, Variable Phase Order",2018,150,14,5784,7.80666,7.18969,1.41072,1333,202,3.0594,4,113.33,1,6,3
Navegador,267,"Economic, Exploration, Nautical, Renaissance","Advantage Token, Area Movement, Market, Rondel",2010,90,12,8732,7.54408,7.18843,1.17891,1754,560,3.0911,4,86.05,4,4,1
Age of Empires III: The Age of Discovery,268,"Civilization, Exploration, Renaissance, Video Game Theme","Area Majority / Influence, Set Collection, Turn Order: Claim Action, Worker Placement, Worker Placement Different Worker Types",2007,120,10,10082,7.52214,7.18586,1.36571,2635,1051,3.1275,4,128.72,4,5,2
Fury of Dracula (Third/Fourth Edition),269,"Adventure, Deduction, Fighting, Horror, Novel-based","Card Play Conflict Resolution, Hidden Movement, Point to Point Movement, Resource to Move, Secret Unit Deployment, Team-Based Game, Variable Player Powers",2015,180,14,13311,7.47252,7.18566,1.42803,2338,325,3.2585,5,119.67,5,7,4
Hive,270,"Abstract Strategy, Animals","Enclosure, Grid Movement, Hexagon Grid, Pieces as Map, Score-and-Reset Game, Three Dimensional Movement, Tile Placement",2000,20,9,33679,7.32001,7.18334,1.31887,6844,1749,2.3225,2,29.42,2,7,1
Cryptid,271,Deduction,"Deduction, Hexagon Grid, Modular Board, Pattern Recognition",2018,50,10,11075,7.48861,7.18263,1.26698,1577,221,2.2579,4,41.42,1,4,3
Indonesia,272,"Economic, Industry / Manufacturing, Transportation","Auction/Bidding, Pick-up and Deliver, Tech Trees / Tech Tracks",2005,240,14,4341,7.87596,7.18227,1.52314,1333,428,3.979,4,210.0,3,3,2
Space Alert,273,"Electronic, Real-time, Science Fiction, Space Exploration","Action Queue, Area Movement, Cooperative Game, Elapsed Real Time Ending, Hand Management, Real-Time, Simultaneous Action Selection, Solo / Solitaire Game",2008,30,12,15532,7.41067,7.18085,1.57294,3517,802,2.9663,5,58.88,4,8,3
Imperial Settlers,274,"Ancient, Card Game, City Building, Civilization","Closed Drafting, Contracts, End Game Bonuses, Hand Management, Income, Open Drafting, Solo / Solitaire Game, Take That, Turn Order: Progressive, Variable Player Powers",2014,90,10,23101,7.35258,7.18077,1.30722,3718,870,2.7701,2,34.74,4,10,3
Forgotten Waters,275,"Adventure, Exploration, Fantasy, Nautical, Pirates, Travel","Dice Rolling, Events, Narrative Choice / Paragraph, Scenario / Mission / Campaign Game, Semi-Cooperative Game, Stat Check Resolution, Storytelling, Worker Placement",2020,240,14,4423,7.93746,7.17967,1.38629,851,81,2.1235,5,51.97,6,8,4
Meadow,276,"Animals, Card Game, Environmental, Exploration","Action Retrieval, Hand Management, Layering, Open Drafting, Set Collection, Solo / Solitaire Game, Worker Placement Different Worker Types",2021,90,10,5401,7.80855,7.17893,1.18953,824,194,2.2216,2,52.09,4,7,1
Nemo's War (Second Edition),277,"Adventure, Exploration, Nautical, Novel-based, Science Fiction, Travel, Wargame","Action Points, Area Majority / Influence, Area Movement, Cooperative Game, Dice Rolling, Push Your Luck, Simulation, Solo / Solitaire Game, Stat Check Resolution",2017,120,13,4557,7.89875,7.1753,1.3486,1314,217,3.2396,1,49.0,7,9,4
Onitama,278,Abstract Strategy,"Grid Movement, Hand Management, Pattern Movement, Square Grid, Static Capture",2014,20,10,19117,7.37368,7.17257,1.23082,3205,302,1.6755,2,33.43,1,5,1
Summoner Wars: Master Set,279,"Card Game, Fantasy, Fighting","Deck Construction, Dice Rolling, Grid Movement, Hand Management, Stat Check Resolution, Variable Player Powers",2011,60,9,10769,7.49349,7.16728,1.48898,1961,396,2.5126,2,141.5,3,6,3
Runewars,280,"Adventure, Fantasy, Fighting, Wargame","Area Majority / Influence, Auction/Bidding, Grid Movement, Modular Board, Simultaneous Action Selection, Variable Player Powers",2010,240,14,8087,7.62573,7.16423,1.51925,1640,639,3.7903,4,144.99,4,6,4
Imperial 2030,281,"Economic, Nautical, Political","Area Majority / Influence, Area Movement, Investment, Ownership, Rondel, Stock Holding",2009,180,12,6311,7.66492,7.16243,1.48798,1234,375,3.5093,4,43.6,3,6,1
Exit: The Game – The Abandoned Cabin,282,"Deduction, Puzzle, Real-time",Cooperative Game,2016,120,12,10409,7.46867,7.16216,1.31521,1594,159,2.5283,2,16.14,3,1,5
Telestrations,283,"Humor, Party Game, Real-time",Paper-and-Pencil,2009,30,12,15497,7.39351,7.16137,1.38299,2551,409,1.0733,8,23.31,3,1,4
Alien Frontiers,284,"Dice, Science Fiction, Space Exploration","Area Majority / Influence, Dice Rolling, Open Drafting, Worker Placement with Dice Workers",2010,90,13,14770,7.3805,7.15952,1.31574,3650,846,2.5662,3,70.84,3,4,3
Dead of Winter: The Long Night,285,"Bluffing, Deduction, Horror, Mature / Adult, Science Fiction, Zombies","Action Points, Area Movement, Cooperative Game, Dice Rolling, Hand Management, Push Your Luck, Semi-Cooperative Game, Storytelling, Traitor Game, Variable Player Powers, Voting",2016,120,14,9102,7.58121,7.1574,1.38472,1321,174,3.3736,4,44.58,6,11,4
Antiquity,286,"City Building, Civilization, Economic, Environmental, Medieval","Grid Coverage, Hexagon Grid, Modular Board, Square Grid, Tile Placement, Trading",2004,180,14,4206,7.86935,7.15704,1.52688,1347,388,4.3093,2,193.33,5,6,3
Glass Road,287,"City Building, Economic, Industry / Manufacturing, Medieval","Enclosure, End Game Bonuses, Once-Per-Game Abilities, Open Drafting, Rondel, Set Collection, Simultaneous Action Selection, Solo / Solitaire Game, Tile Placement, Turn Order: Progressive, Variable Phase Order, Variable Set-up",2013,80,13,10442,7.45548,7.15546,1.21564,2168,520,2.9712,2,73.09,4,12,2
Lords of Hellas,288,"Ancient, Miniatures, Mythology, Territory Building","Area Majority / Influence, Area Movement, Card Play Conflict Resolution, Hand Management, Open Drafting, Solo / Solitaire Game, Variable Player Powers, Worker Placement",2018,90,14,6581,7.74139,7.15349,1.47569,1340,213,3.338,4,59.97,4,8,3
